,Date,Price,Open,High,Low,Change %
89,"Oct 03, 2020",259.38,259.21,259.91,258.91,0.27%
90,"Oct 02, 2020",259.38,259.21,259.91,258.91,0.27%
91,"Oct 01, 2020",258.68,258.62,258.79,258.2,0.10%
92,"Sep 30, 2020",258.42,259.17,259.62,258.42,-0.34%
93,"Sep 29, 2020",259.3,259.62,259.95,259.02,-0.32%
94,"Sep 28, 2020",260.13,260.56,260.56,259.34,-0.17%
95,"Sep 27, 2020",260.56,259.69,260.56,259.4,0.20%
96,"Sep 26, 2020",260.56,259.69,260.56,259.4,0.20%
97,"Sep 25, 2020",260.56,259.69,260.56,259.4,0.20%
98,"Sep 24, 2020",260.03,259.79,260.35,259.7,0.09%
99,"Sep 23, 2020",259.79,259.52,259.99,259.25,0.16%
100,"Sep 22, 2020",259.37,259.49,259.65,258.74,0.09%
101,"Sep 21, 2020",259.13,257.7,259.36,257.22,0.58%
102,"Sep 20, 2020",257.63,257.5,258.22,257.4,-0.27%
103,"Sep 19, 2020",257.63,257.5,258.22,257.4,-0.27%
104,"Sep 18, 2020",257.63,257.5,258.22,257.4,-0.27%
105,"Sep 17, 2020",258.34,258.43,258.82,258.09,0.22%
106,"Sep 16, 2020",257.78,257.18,257.9,256.64,0.27%
107,"Sep 15, 2020",257.08,256.57,257.12,256.01,0.35%
108,"Sep 14, 2020",256.19,256.45,256.89,256.19,-0.07%
109,"Sep 13, 2020",256.37,256.51,256.75,255.72,0.40%
110,"Sep 12, 2020",256.37,256.51,256.75,255.72,0.40%
111,"Sep 11, 2020",256.37,256.51,256.75,255.72,0.40%
112,"Sep 10, 2020",255.36,256.99,256.99,254.96,-0.35%
113,"Sep 09, 2020",256.25,257.67,258.1,256.25,-0.39%
114,"Sep 08, 2020",257.25,257.18,257.6,256.16,0.68%
115,"Sep 07, 2020",255.51,256.27,256.64,255.51,-0.40%
116,"Sep 06, 2020",256.54,257.35,257.35,256.54,-0.45%
117,"Sep 05, 2020",256.54,257.35,257.35,256.54,-0.45%
118,"Sep 04, 2020",256.54,257.35,257.35,256.54,-0.45%
119,"Sep 03, 2020",257.71,257.62,257.71,256.85,-0.04%
120,"Sep 02, 2020",257.81,256.28,257.81,256.04,1.48%
121,"Sep 01, 2020",254.04,254.25,254.97,253.69,-0.11%
122,"Aug 31, 2020",254.31,254.93,254.99,254.22,-0.43%
123,"Aug 30, 2020",255.4,254.6,255.84,254.1,-0.30%
124,"Aug 29, 2020",255.4,254.6,255.84,254.1,-0.30%
125,"Aug 28, 2020",255.4,254.6,255.84,254.1,-0.30%
126,"Aug 27, 2020",256.16,256.67,256.91,256.16,-0.15%
127,"Aug 26, 2020",256.54,255.93,256.8,255.78,-0.01%
128,"Aug 25, 2020",256.57,257.78,257.78,255.91,-0.47%
129,"Aug 24, 2020",257.78,258.3,258.3,256.99,-0.14%
130,"Aug 23, 2020",258.15,257.44,258.76,257.44,0.38%
131,"Aug 22, 2020",258.15,257.44,258.76,257.44,0.38%
132,"Aug 21, 2020",258.15,257.44,258.76,257.44,0.38%
133,"Aug 20, 2020",257.18,257.06,257.92,256.98,0.26%
134,"Aug 19, 2020",256.52,256.0,256.48,255.79,0.34%
135,"Aug 18, 2020",255.66,256.15,256.22,255.37,-0.29%
136,"Aug 17, 2020",256.41,255.62,256.41,255.62,0.14%
137,"Aug 16, 2020",256.05,256.34,256.67,255.99,-0.11%
138,"Aug 15, 2020",256.05,256.34,256.67,255.99,-0.11%
139,"Aug 14, 2020",256.05,256.34,256.67,255.99,-0.11%
140,"Aug 13, 2020",256.34,256.8,256.8,255.53,-0.31%
141,"Aug 12, 2020",257.15,257.95,257.95,256.82,-0.31%
142,"Aug 11, 2020",257.95,259.35,259.35,257.71,-0.52%
143,"Aug 10, 2020",259.31,259.12,259.49,258.97,0.06%
144,"Aug 09, 2020",259.15,258.96,259.65,258.73,-0.18%
145,"Aug 08, 2020",259.15,258.96,259.65,258.73,-0.18%
146,"Aug 07, 2020",259.15,258.96,259.65,258.73,-0.18%
147,"Aug 06, 2020",259.62,258.0,259.62,258.0,0.75%
148,"Aug 05, 2020",257.7,259.0,259.31,257.25,-0.62%
149,"Aug 04, 2020",259.31,258.8,259.7,258.74,-0.07%
150,"Aug 03, 2020",259.49,259.37,259.65,258.9,0.19%
151,"Aug 02, 2020",259.01,258.54,259.1,258.3,0.16%
152,"Aug 01, 2020",259.01,258.54,259.1,258.3,0.16%
153,"Jul 31, 2020",259.01,258.54,259.1,258.3,0.16%
154,"Jul 30, 2020",258.59,259.2,259.77,258.59,-0.17%
155,"Jul 29, 2020",259.03,259.89,259.89,258.56,-0.31%
156,"Jul 28, 2020",259.83,259.19,259.85,258.83,0.36%
157,"Jul 27, 2020",258.9,259.6,259.71,258.29,-0.29%
158,"Jul 26, 2020",259.65,260.25,260.5,259.65,-0.23%
159,"Jul 25, 2020",259.65,260.25,260.5,259.65,-0.23%
160,"Jul 24, 2020",259.65,260.25,260.5,259.65,-0.23%
161,"Jul 23, 2020",260.25,260.23,260.8,259.8,-0.09%
162,"Jul 22, 2020",260.48,261.09,261.13,259.19,-0.23%
163,"Jul 21, 2020",261.08,262.15,262.15,260.95,-0.23%
164,"Jul 20, 2020",261.67,260.99,262.29,260.59,-0.04%
165,"Jul 19, 2020",261.77,262.23,262.23,261.04,-0.07%
166,"Jul 18, 2020",261.77,262.23,262.23,261.04,-0.07%
167,"Jul 17, 2020",261.77,262.23,262.23,261.04,-0.07%
168,"Jul 16, 2020",261.95,261.74,262.22,261.11,0.08%
169,"Jul 15, 2020",261.74,262.21,262.21,260.57,-0.20%
170,"Jul 14, 2020",262.27,262.56,263.05,261.61,0.02%
171,"Jul 13, 2020",262.21,263.27,263.46,261.38,0.10%
172,"Jul 12, 2020",261.95,264.0,264.67,261.95,-0.64%
173,"Jul 11, 2020",261.95,264.0,264.67,261.95,-0.64%
174,"Jul 10, 2020",261.95,264.0,264.67,261.95,-0.64%
175,"Jul 09, 2020",263.65,262.74,263.74,262.13,0.26%
176,"Jul 08, 2020",262.96,263.0,263.58,261.6,0.21%
177,"Jul 07, 2020",262.4,262.34,262.59,261.7,0.02%
178,"Jul 06, 2020",262.34,262.49,262.49,261.29,-0.45%
179,"Jul 05, 2020",263.53,263.26,263.53,262.67,0.46%
180,"Jul 04, 2020",263.53,263.26,263.53,262.67,0.46%
181,"Jul 03, 2020",263.53,263.26,263.53,262.67,0.46%
182,"Jul 02, 2020",262.33,262.22,262.83,261.04,0.16%
183,"Jul 01, 2020",261.9,263.45,264.16,261.66,-0.58%
184,"Jun 30, 2020",263.43,263.12,263.69,263.09,0.14%
185,"Jun 29, 2020",263.05,263.68,263.68,262.27,-0.52%
186,"Jun 28, 2020",264.42,264.0,264.42,263.5,0.16%
187,"Jun 27, 2020",264.42,264.0,264.42,263.5,0.16%
188,"Jun 26, 2020",264.42,264.0,264.42,263.5,0.16%
189,"Jun 25, 2020",264.01,262.7,264.01,262.44,0.49%
190,"Jun 24, 2020",262.71,261.5,262.71,261.5,0.49%
191,"Jun 23, 2020",261.43,262.0,262.19,260.96,-0.33%
192,"Jun 22, 2020",262.3,264.0,264.0,262.3,-0.53%
193,"Jun 21, 2020",263.7,263.05,264.2,261.8,0.26%
194,"Jun 20, 2020",263.7,263.05,264.2,261.8,0.26%
195,"Jun 19, 2020",263.7,263.05,264.2,261.8,0.26%
196,"Jun 18, 2020",263.02,262.69,263.3,262.01,-0.12%
197,"Jun 17, 2020",263.34,262.0,263.34,261.28,0.38%
198,"Jun 16, 2020",262.35,261.57,262.35,260.57,-0.19%
199,"Jun 15, 2020",262.84,263.0,263.06,261.81,0.16%
200,"Jun 14, 2020",262.41,261.2,262.47,260.5,0.42%
201,"Jun 13, 2020",262.41,261.2,262.47,260.5,0.42%
202,"Jun 12, 2020",262.41,261.2,262.47,260.5,0.42%
203,"Jun 11, 2020",261.31,261.11,261.36,260.25,0.07%
204,"Jun 10, 2020",261.14,259.5,261.14,258.85,0.95%
205,"Jun 09, 2020",258.67,260.32,260.73,258.67,-0.31%
206,"Jun 08, 2020",259.48,257.88,259.49,257.61,0.73%
207,"Jun 07, 2020",257.61,257.39,258.28,256.72,-0.56%
208,"Jun 06, 2020",257.61,257.39,258.28,256.72,-0.56%
209,"Jun 05, 2020",257.61,257.39,258.28,256.72,-0.56%
210,"Jun 04, 2020",259.07,260.76,261.25,258.44,-1.23%
