,Date,Price,Open,High,Low,Change %
148,"Aug 05, 2020",183.53,183.53,183.53,183.53,-0.16%
149,"Aug 04, 2020",183.82,183.82,183.82,183.82,0.40%
150,"Aug 03, 2020",183.09,183.09,183.09,183.09,1.58%
151,"Aug 02, 2020",180.24,180.24,180.24,180.24,-0.32%
152,"Aug 01, 2020",180.24,180.24,180.24,180.24,-0.32%
153,"Jul 31, 2020",180.24,180.24,180.24,180.24,-0.32%
154,"Jul 30, 2020",180.81,180.81,180.81,180.81,-0.76%
155,"Jul 29, 2020",182.19,182.19,182.19,182.19,0.46%
156,"Jul 28, 2020",181.35,181.35,181.35,181.35,-0.10%
157,"Jul 27, 2020",181.54,181.54,181.54,181.54,-0.42%
158,"Jul 26, 2020",182.3,182.3,182.3,182.3,-0.97%
159,"Jul 25, 2020",182.3,182.3,182.3,182.3,-0.97%
160,"Jul 24, 2020",182.3,182.3,182.3,182.3,-0.97%
161,"Jul 23, 2020",184.09,184.09,184.09,184.09,-0.85%
162,"Jul 22, 2020",185.67,185.67,185.67,185.67,-0.64%
163,"Jul 21, 2020",186.87,186.87,186.87,186.87,-0.15%
164,"Jul 20, 2020",187.16,187.16,187.16,187.16,0.68%
165,"Jul 19, 2020",185.9,185.9,185.9,185.9,0.31%
166,"Jul 18, 2020",185.9,185.9,185.9,185.9,0.31%
167,"Jul 17, 2020",185.9,185.9,185.9,185.9,0.31%
168,"Jul 16, 2020",185.33,185.33,185.33,185.33,-0.46%
169,"Jul 15, 2020",186.19,186.19,186.19,186.19,0.97%
170,"Jul 14, 2020",184.41,184.41,184.41,184.41,0.50%
171,"Jul 13, 2020",183.49,183.49,183.49,183.49,-0.70%
172,"Jul 12, 2020",184.79,184.79,184.79,184.79,0.71%
173,"Jul 11, 2020",184.79,184.79,184.79,184.79,0.71%
174,"Jul 10, 2020",184.79,184.79,184.79,184.79,0.71%
175,"Jul 09, 2020",183.49,183.49,183.49,183.49,-0.29%
176,"Jul 08, 2020",184.03,184.03,184.03,184.03,0.16%
177,"Jul 07, 2020",183.74,183.74,183.74,183.74,-0.74%
178,"Jul 06, 2020",185.11,185.11,185.11,185.11,1.10%
179,"Jul 05, 2020",183.09,183.09,183.09,183.09,-0.25%
180,"Jul 04, 2020",183.09,183.09,183.09,183.09,-0.25%
181,"Jul 03, 2020",183.09,183.09,183.09,183.09,-0.25%
182,"Jul 02, 2020",183.55,183.55,183.55,183.55,1.15%
183,"Jul 01, 2020",181.47,181.47,181.47,181.47,0.07%
184,"Jun 30, 2020",181.35,181.35,181.35,181.35,1.32%
185,"Jun 29, 2020",178.99,178.99,178.99,178.99,0.52%
186,"Jun 28, 2020",178.06,178.06,178.06,178.06,-1.55%
187,"Jun 27, 2020",178.06,178.06,178.06,178.06,-1.55%
188,"Jun 26, 2020",178.06,178.06,178.06,178.06,-1.55%
189,"Jun 25, 2020",180.87,180.87,180.87,180.87,1.17%
190,"Jun 24, 2020",178.78,178.78,178.78,178.78,-1.91%
191,"Jun 23, 2020",182.26,182.26,182.26,182.26,-0.02%
192,"Jun 22, 2020",182.3,182.3,182.3,182.3,-0.08%
193,"Jun 21, 2020",182.45,182.45,182.45,182.45,-0.06%
194,"Jun 20, 2020",182.45,182.45,182.45,182.45,-0.06%
195,"Jun 19, 2020",182.45,182.45,182.45,182.45,-0.06%
196,"Jun 18, 2020",182.56,182.56,182.56,182.56,-0.07%
197,"Jun 17, 2020",182.69,182.69,182.69,182.69,0.08%
198,"Jun 16, 2020",182.55,182.55,182.55,182.55,2.64%
199,"Jun 15, 2020",177.85,177.85,177.85,177.85,-0.02%
200,"Jun 14, 2020",177.88,177.88,177.88,177.88,1.67%
201,"Jun 13, 2020",177.88,177.88,177.88,177.88,1.67%
202,"Jun 12, 2020",177.88,177.88,177.88,177.88,1.67%
203,"Jun 11, 2020",174.95,174.95,174.95,174.95,-5.23%
204,"Jun 10, 2020",184.6,184.6,184.6,184.6,-0.34%
205,"Jun 09, 2020",185.23,185.23,185.23,185.23,-1.03%
206,"Jun 08, 2020",187.15,187.15,187.15,187.15,1.06%
207,"Jun 07, 2020",185.19,185.19,185.19,185.19,2.47%
208,"Jun 06, 2020",185.19,185.19,185.19,185.19,2.47%
209,"Jun 05, 2020",185.19,185.19,185.19,185.19,2.47%
210,"Jun 04, 2020",180.72,180.72,180.72,180.72,-1.28%
211,"Jun 03, 2020",183.06,183.06,183.06,183.06,1.31%
212,"Jun 02, 2020",180.7,180.7,180.7,180.7,1.30%
213,"Jun 01, 2020",178.38,178.38,178.38,178.38,-0.63%
214,"May 31, 2020",178.38,178.38,178.38,178.38,-0.63%
