,Date,Price,Open,High,Low,Change %
349,"Jan 17, 2020",97.64,97.3,97.66,97.27,0.33%
350,"Jan 16, 2020",97.32,97.18,97.36,97.08,0.09%
351,"Jan 15, 2020",97.23,97.38,97.44,97.16,-0.14%
352,"Jan 14, 2020",97.37,97.36,97.56,97.33,0.03%
353,"Jan 13, 2020",97.34,97.35,97.53,97.31,-0.02%
354,"Jan 12, 2020",97.36,97.43,97.58,97.3,-0.09%
355,"Jan 11, 2020",97.36,97.43,97.58,97.3,-0.09%
356,"Jan 10, 2020",97.36,97.43,97.58,97.3,-0.09%
357,"Jan 09, 2020",97.45,97.27,97.56,97.25,0.15%
358,"Jan 08, 2020",97.3,96.83,97.35,96.82,0.31%
359,"Jan 07, 2020",97.0,96.65,97.09,96.62,0.34%
360,"Jan 06, 2020",96.67,96.9,96.9,96.54,-0.18%
361,"Jan 05, 2020",96.84,96.79,97.11,96.71,-0.01%
362,"Jan 04, 2020",96.84,96.79,97.11,96.71,-0.01%
363,"Jan 03, 2020",96.84,96.79,97.11,96.71,-0.01%
364,"Jan 02, 2020",96.85,96.48,96.87,96.42,0.48%
365,"Jan 01, 2020",96.39,96.5,97.1,96.39,0.00%
